NAME,BUS,BASE_KV,BASE_KW,BASE_KVAR,PHASES,LOADSHAPE,KWH,COMMUNITY
3FFLX332,BUSLVFLX1171,0.24,1.0,0.1,3,curve275_00R,277.25,30
1FFLX333,BUSLVFLX1195,0.24,1.0,0.1,1,curve361_00R,361.28,29
1FFLX334,BUSLVFLX195,0.24,1.0,0.1,1,curve264_00R,261.47,17
1FFLX335,BUSLVFLX581,0.24,1.0,0.1,1,curve299_22R,297.49,29
1FFLX336,BUSLVFLX551,0.24,1.0,0.1,1,curve255_96R,253.23,11
1FFLX337,BUSLVFLX115,0.24,1.0,0.1,1,curve299_22R,300.0,18
1FFLX338,BUSLVFLX200,0.24,1.0,0.1,1,curve390_02R,387.79,29
3FFLX339,BUSLVFLX1253,0.24,1.0,0.1,3,curve269_45R,269.45,3
1FFLX340,BUSLVFLX145,0.24,1.0,0.1,1,curve255_96R,258.75,1
1FFLX341,BUSLVFLX677,0.24,1.0,0.1,1,curve380_00R,380.64,12
3FFLX342,BUSLVFLX1248,0.24,1.0,0.1,3,curve304_21R,305.02,3
1FFLX343,BUSLVFLX971,0.24,1.0,0.1,1,curve361_00R,358.28,1
1FFLX344,BUSLVFLX253,0.24,1.0,0.1,1,curve346_00R,349.59,13
1FFLX345,BUSLVFLX427,0.24,1.0,0.1,1,curve339_00R,335.85,13
1FFLX346,BUSLVFLX769,0.24,1.0,0.1,1,curve445_44R,440.51,13
1FFLX347,BUSLVFLX411,0.24,1.0,0.1,1,curve401_82R,403.64,11
1FFLX348,BUSLVFLX1132,0.24,1.0,0.1,1,curve325_00R,320.19,17
1FFLX349,BUSLVFLX51,0.24,1.0,0.1,1,curve413_00R,408.03,29
3FFLX350,BUSLVFLX1254,0.24,1.0,0.1,3,curve530_25R,532.63,22
1FFLX351,BUSLVFLX618,0.24,1.0,0.1,1,curve353_33R,355.34,22
3FFLX352,BUSLVFLX1128,0.24,1.0,0.1,3,curve325_00R,327.93,1
3FFLX353,BUSLVFLX1232,0.24,1.0,0.1,3,curve369_00R,373.88,14
1FFLX354,BUSLVFLX231,0.24,1.0,0.1,1,curve481_00R,488.08,3
1FFLX355,BUSLVFLX997,0.24,1.0,0.1,1,curve230_00R,229.37,17
1FFLX356,BUSLVFLX1115,0.24,1.0,0.1,1,curve423_36R,422.65,12
1FFLX357,BUSLVFLX816,0.24,1.0,0.1,1,curve248_00R,250.41,13
1FFLX358,BUSLVFLX55,0.24,1.0,0.1,1,curve292_50R,292.47,13
1FFLX359,BUSLVFLX829,0.24,1.0,0.1,1,curve304_21R,305.02,3
1FFLX360,BUSLVFLX874,0.24,1.0,0.1,1,curve390_02R,395.42,23
1FFLX361,BUSLVFLX434,0.24,1.0,0.1,1,curve325_00R,325.33,23
1FFLX362,BUSLVFLX127,0.24,1.0,0.1,1,curve304_21R,305.02,2
3FFLX363,BUSLVFLX1130,0.24,1.0,0.1,3,curve459_00R,455.48,23
1FFLX364,BUSLVFLX612,0.24,1.0,0.1,1,curve369_00R,370.63,27
1FFLX365,BUSLVFLX103,0.24,1.0,0.1,1,curve390_02R,391.54,1
1FFLX366,BUSLVFLX1078,0.24,1.0,0.1,1,curve219_48R,219.36,23
1FFLX367,BUSLVFLX626,0.24,1.0,0.1,1,curve346_00R,349.59,24
1FFLX368,BUSLVFLX1098,0.24,1.0,0.1,1,curve339_00R,335.85,2
1FFLX369,BUSLVFLX976,0.24,1.0,0.1,1,curve269_45R,272.07,3
3FFLX370,BUSLVFLX1100,0.24,1.0,0.1,3,curve283_00R,284.9,3
1FFLX371,BUSLVFLX173,0.24,1.0,0.1,1,curve380_00R,380.64,1
1FFLX372,BUSLVFLX212,0.24,1.0,0.1,1,curve292_50R,292.47,3
1FFLX373,BUSLVFLX513,0.24,1.0,0.1,1,curve369_00R,373.88,22
1FFLX374,BUSLVFLX372,0.24,1.0,0.1,1,curve339_00R,335.85,13
1FFLX375,BUSLVFLX107,0.24,1.0,0.1,1,curve346_00R,346.77,17
1FFLX376,BUSLVFLX193,0.24,1.0,0.1,1,curve230_00R,229.37,20
1FFLX377,BUSLVFLX694,0.24,1.0,0.1,1,curve248_00R,250.41,14
1FFLX378,BUSLVFLX524,0.24,1.0,0.1,1,curve332_00R,333.19,22
1FFLX379,BUSLVFLX1025,0.24,1.0,0.1,1,curve304_21R,305.02,1
3FFLX380,BUSLVFLX1095,0.24,1.0,0.1,3,curve390_02R,391.54,11
3FFLX381,BUSLVFLX1269,0.24,1.0,0.1,3,curve230_00R,229.37,20
1FFLX382,BUSLVFLX475,0.24,1.0,0.1,1,curve413_00R,417.5,30
1FFLX383,BUSLVFLX973,0.24,1.0,0.1,1,curve269_45R,272.07,17
1FFLX384,BUSLVFLX1176,0.24,1.0,0.1,1,curve325_00R,325.33,22
1FFLX385,BUSLVFLX804,0.24,1.0,0.1,1,curve346_00R,346.77,1
1FFLX386,BUSLVFLX499,0.24,1.0,0.1,1,curve459_00R,455.48,17
