NAME,BUS_FROM,BUS_TO,LENGTH[M],GEOMETRY,BASE_KV
LV1FFLX96,BUSLVFLX125,BUSLVFLX21,5.8168,Linecode=TRPX2AAC,0.12
LV1FFLX97,BUSLVFLX126,BUSLVFLX128,1.9582,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX98,BUSLVFLX144,BUSLVFLX126,5.6798,Linecode=TRPX6AAC,0.12
LV1FFLX99,BUSLVFLX127,BUSLVFLX128,5.4799,Linecode=TRPX6AAC,0.12
LV1FFLX100,BUSLVFLX128,BUSLVFLX129,2.1823,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX101,BUSLVFLX129,BUSLVFLX130,2.0072,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX102,BUSLVFLX150,BUSLVFLX129,5.8299,Linecode=TRPX6AAC,0.12
LV1FFLX103,BUSLVFLX130,BUSLVFLX132,5.3849,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX104,BUSLVFLX143,BUSLVFLX130,4.0705,Linecode=TRPX2AAC,0.12
LV1FFLX105,BUSLVFLX131,BUSLVFLX132,6.0303,Linecode=TRPX6AAC,0.12
LV1FFLX106,BUSLVFLX132,BUSLVFLX135,8.8685,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX107,BUSLVFLX134,BUSLVFLX135,5.4727,Linecode=TRPX6AAC,0.12
LV1FFLX108,BUSLVFLX135,BUSLVFLX136,0.5232,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX109,BUSLVFLX136,BUSLVFLX137,2.8031,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX110,BUSLVFLX167,BUSLVFLX136,10.5331,Linecode=TRPX6AAC,0.12
LV1FFLX111,BUSLVFLX137,BUSLVFLX138,6.9196,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX112,BUSLVFLX168,BUSLVFLX137,9.6799,Linecode=TRPX2AAC,0.12
LV1FFLX113,BUSLVFLX138,BUSLVFLX140,0.5843,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX114,BUSLVFLX164,BUSLVFLX138,5.419,Linecode=TRPX6AAC,0.12
LV1FFLX115,BUSLVFLX139,BUSLVFLX140,6.0779,Linecode=TRPX6AAC,0.12
LV1FFLX116,BUSLVFLX140,BUSLVFLX146,5.1341,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX117,BUSLVFLX147,BUSLVFLX142,1.5926,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX118,BUSLVFLX142,BUSLVFLX22,6.667,Geometry=1FLV3/0CU3/0CU,0.12
LV1FFLX119,BUSLVFLX154,BUSLVFLX143,2.878,Linecode=TRPX2AAC,0.12
LV1FFLX120,BUSLVFLX155,BUSLVFLX143,2.8851,Linecode=TRPX2AAC,0.12
LV1FFLX121,BUSLVFLX145,BUSLVFLX146,6.7128,Linecode=TRPX6AAC,0.12
LV1FFLX122,BUSLVFLX146,BUSLVFLX148,2.599,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX123,BUSLVFLX149,BUSLVFLX147,1.0477,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX124,BUSLVFLX148,BUSLVFLX151,2.1873,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX125,BUSLVFLX170,BUSLVFLX148,11.0344,Linecode=TRPX6AAC,0.12
LV1FFLX126,BUSLVFLX166,BUSLVFLX149,43.1199,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX127,BUSLVFLX149,BUSLVFLX186,52.6582,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX128,BUSLVFLX151,BUSLVFLX152,2.618,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX129,BUSLVFLX171,BUSLVFLX151,11.8905,Linecode=TRPX6AAC,0.12
LV1FFLX130,BUSLVFLX152,BUSLVFLX153,2.484,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX131,BUSLVFLX173,BUSLVFLX152,11.6392,Linecode=TRPX6AAC,0.12
LV1FFLX132,BUSLVFLX153,BUSLVFLX156,1.8722,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX133,BUSLVFLX177,BUSLVFLX153,12.3971,Linecode=TRPX6AAC,0.12
LV1FFLX134,BUSLVFLX156,BUSLVFLX158,1.0554,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX135,BUSLVFLX176,BUSLVFLX156,11.8013,Linecode=TRPX6AAC,0.12
LV1FFLX136,BUSLVFLX157,BUSLVFLX158,8.016,Linecode=TRPX2AAC,0.12
LV1FFLX137,BUSLVFLX158,BUSLVFLX159,0.7339,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX138,BUSLVFLX159,BUSLVFLX160,3.5643,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX139,BUSLVFLX175,BUSLVFLX159,11.4977,Linecode=TRPX6AAC,0.12
LV1FFLX140,BUSLVFLX160,BUSLVFLX161,2.4537,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX141,BUSLVFLX181,BUSLVFLX160,12.5439,Linecode=TRPX6AAC,0.12
LV1FFLX142,BUSLVFLX161,BUSLVFLX162,5.5503,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX143,BUSLVFLX178,BUSLVFLX161,11.846,Linecode=TRPX6AAC,0.12
LV1FFLX144,BUSLVFLX162,BUSLVFLX163,3.467,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX145,BUSLVFLX169,BUSLVFLX162,7.0154,Linecode=TRPX2AAC,0.12
LV1FFLX146,BUSLVFLX163,BUSLVFLX165,3.5765,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX147,BUSLVFLX182,BUSLVFLX163,11.4745,Linecode=TRPX6AAC,0.12
LV1FFLX148,BUSLVFLX165,BUSLVFLX166,1.7606,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX149,BUSLVFLX180,BUSLVFLX165,11.015,Linecode=TRPX6AAC,0.12
LV1FFLX150,BUSLVFLX184,BUSLVFLX166,15.1829,Linecode=TRPX6AAC,0.12
LV1FFLX151,BUSLVFLX179,BUSLVFLX169,4.6812,Linecode=TRPX2AAC,0.12
LV1FFLX152,BUSLVFLX183,BUSLVFLX169,5.4489,Linecode=TRPX2AAC,0.12
LV1FFLX153,BUSLVFLX172,BUSLVFLX170,2.3676,Linecode=TRPX6AAC,0.12
LV1FFLX154,BUSLVFLX174,BUSLVFLX170,2.76,Linecode=TRPX6AAC,0.12
LV1FFLX155,BUSLVFLX185,BUSLVFLX186,26.933,Linecode=TRPX6AAC,0.12
LV1FFLX156,BUSLVFLX187,BUSLVFLX188,9.7713,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX157,BUSLVFLX188,BUSLVFLX196,8.0763,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX158,BUSLVFLX198,BUSLVFLX188,9.1073,Linecode=TRPX6AAC,0.12
LV1FFLX159,BUSLVFLX189,BUSLVFLX190,1.7148,Linecode=TRPX6AAC,0.12
LV1FFLX160,BUSLVFLX191,BUSLVFLX190,1.739,Linecode=TRPX6AAC,0.12
LV1FFLX161,BUSLVFLX192,BUSLVFLX190,2.0902,Linecode=TRPX6AAC,0.12
LV1FFLX162,BUSLVFLX193,BUSLVFLX190,1.8467,Linecode=TRPX6AAC,0.12
LV1FFLX163,BUSLVFLX194,BUSLVFLX190,1.6326,Linecode=TRPX6AAC,0.12
LV1FFLX164,BUSLVFLX195,BUSLVFLX190,1.5066,Linecode=TRPX6AAC,0.12
LV1FFLX165,BUSLVFLX190,BUSLVFLX23,10.89,Linecode=TRPX6AAC,0.12
LV1FFLX166,BUSLVFLX196,BUSLVFLX197,9.6218,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX167,BUSLVFLX200,BUSLVFLX196,9.3716,Linecode=TRPX6AAC,0.12
LV1FFLX168,BUSLVFLX197,BUSLVFLX199,7.7307,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX169,BUSLVFLX202,BUSLVFLX197,9.695,Linecode=TRPX6AAC,0.12
LV1FFLX170,BUSLVFLX199,BUSLVFLX201,5.25,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX171,BUSLVFLX205,BUSLVFLX199,10.7832,Linecode=TRPX6AAC,0.12
LV1FFLX172,BUSLVFLX201,BUSLVFLX203,7.686,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX173,BUSLVFLX211,BUSLVFLX201,14.2998,Linecode=TRPX6AAC,0.12
LV1FFLX174,BUSLVFLX203,BUSLVFLX204,2.5574,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX175,BUSLVFLX212,BUSLVFLX203,12.118,Linecode=TRPX6AAC,0.12
LV1FFLX176,BUSLVFLX204,BUSLVFLX206,3.8928,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX177,BUSLVFLX217,BUSLVFLX204,14.5078,Linecode=TRPX6AAC,0.12
LV1FFLX178,BUSLVFLX207,BUSLVFLX206,10.7915,Linecode=TRPX6AAC,0.12
LV1FFLX179,BUSLVFLX206,BUSLVFLX208,1.6485,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX180,BUSLVFLX208,BUSLVFLX209,2.0076,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX181,BUSLVFLX219,BUSLVFLX208,14.5515,Linecode=TRPX6AAC,0.12
LV1FFLX182,BUSLVFLX209,BUSLVFLX210,2.4957,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX183,BUSLVFLX224,BUSLVFLX209,14.4201,Linecode=TRPX6AAC,0.12
LV1FFLX184,BUSLVFLX210,BUSLVFLX213,4.2351,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX185,BUSLVFLX222,BUSLVFLX210,11.931,Linecode=TRPX6AAC,0.12
LV1FFLX186,BUSLVFLX213,BUSLVFLX214,1.4201,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX187,BUSLVFLX226,BUSLVFLX213,11.8837,Linecode=TRPX6AAC,0.12
LV1FFLX188,BUSLVFLX215,BUSLVFLX214,9.4287,Linecode=TRPX6AAC,0.12
LV1FFLX189,BUSLVFLX214,BUSLVFLX216,3.3502,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX190,BUSLVFLX216,BUSLVFLX218,4.9152,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX191,BUSLVFLX225,BUSLVFLX216,8.7688,Linecode=TRPX4AAC,0.12
LV1FFLX192,BUSLVFLX218,BUSLVFLX220,2.992,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX193,BUSLVFLX232,BUSLVFLX218,11.3071,Linecode=TRPX6AAC,0.12
